0.953	text_bubble	204	394	589	568
0.937	text_free	360	1489	587	1602
0.932	text_free	178	1691	387	1806
0.931	text_free	487	1832	642	1942
0.950	text_bubble	244	2687	551	2912
0.919	text_bubble	244	2816	553	2941
0.744	text_free	122	3394	540	3616
0.684	text_free	436	2966	723	3106
0.291	text_free	122	3394	540	3615
0.831	text_free	118	3520	536	3675
0.605	text_free	365	3694	518	3774
0.316	text_free	116	3520	539	3797
0.949	text_bubble	206	4698	592	4840
0.930	text_bubble	272	6684	515	6762
0.958	text_bubble	357	7261	658	7453
0.738	text_free	0	7529	436	7784
0.444	text_bubble	0	7531	431	7782
0.773	text_free	0	7863	192	7975
0.588	text_free	0	7744	423	7780
0.339	text_free	0	7744	431	7979
0.792	text_bubble	146	9145	651	9248
0.520	text_bubble	57	8849	516	9076
0.430	text_free	57	8849	516	9076
0.920	text_bubble	315	9799	666	9951
0.734	text_free	139	9152	662	9512
0.630	text_free	142	9152	658	9412
0.413	text_free	294	9436	504	9502
0.372	text_bubble	139	9152	662	9512
0.893	text_bubble	326	9856	627	9995
0.660	text_free	16	10981	319	11151
0.964	text_bubble	260	12433	479	12557
0.788	text_free	116	13310	700	13472
0.761	text_free	179	13635	648	13763
0.651	text_free	235	13803	564	13882
0.614	text_free	163	13903	630	14028
0.581	text_free	115	13376	682	14176
0.563	text_free	245	14070	554	14176
0.547	text_free	112	13376	688	13590
0.453	text_free	255	14145	544	14175
0.450	text_free	110	13374	678	14047
0.426	text_free	162	13631	653	14038
0.415	text_free	333	14075	467	14142
0.399	text_free	162	13627	651	14181
0.297	text_free	179	13635	648	13762
0.291	text_free	110	13376	687	13771
0.290	text_free	164	13629	649	14036
0.828	text_free	183	13636	643	13762
0.706	text_free	237	13805	563	13880
0.674	text_free	166	13905	628	14025
0.564	text_free	251	14072	544	14191
0.540	text_free	256	14146	540	14185
0.523	text_free	166	13631	648	14035
0.509	text_free	334	14076	467	14142
0.466	text_free	165	13630	647	14214
0.396	text_free	168	13631	644	14235
0.396	text_free	168	13632	641	14034
0.303	text_free	179	13632	645	13889
0.296	text_free	167	13630	643	14039
0.288	text_free	169	13627	645	14217
0.281	text_free	169	13627	647	14217
0.280	text_free	169	13625	642	14218
